art 75 0.09250465606768873
most 74 0.09127126065345288
long 73 0.09003786523921704
great 73 0.09003786523921704
other 72 0.08880446982498119
again 72 0.08880446982498119
young 71 0.08757107441074534
men 71 0.08757107441074534
dear 70 0.08633767899650949
our 70 0.08633767899650949
looking 70 0.08633767899650949
picture 69 0.08510428358227365
everything 69 0.08510428358227365
yet 69 0.08510428358227365
why 68 0.08387088816803778
lady 68 0.08387088816803778
door 67 0.08263749275380194
anything 66 0.08140409733956609
moment 66 0.08140409733956609
before 66 0.08140409733956609
soul 66 0.08140409733956609
hand 66 0.08140409733956609
went 63 0.07770391109685855
women 63 0.07770391109685855
those 62 0.07647051568262268
being 61 0.07523712026838685
across 61 0.07523712026838685
“it 61 0.07523712026838685
asked 61 0.07523712026838685
two 61 0.07523712026838685
passed 60 0.07400372485415099
might 60 0.07400372485415099
old 60 0.07400372485415099
afraid 60 0.07400372485415099
make 59 0.07277032943991514
table 59 0.07277032943991514
wonderful 58 0.07153693402567929
white 56 0.06907014319720758
every 56 0.06907014319720758
beauty 55 0.06783674778297175
sir 55 0.06783674778297175
let 55 0.06783674778297175
left 55 0.06783674778297175
better 54 0.0666033523687359
one’s 54 0.0666033523687359
turned 54 0.0666033523687359
got 54 0.0666033523687359
house 54 0.0666033523687359
lips 54 0.0666033523687359
vane 54 0.0666033523687359
head 53 0.06536995695450004
portrait 52 0.06413656154026419
hands 52 0.06413656154026419
course 51 0.06290316612602835
done 50 0.06166977071179249
“what 50 0.06166977071179249
true 49 0.060436375297556647
believe 49 0.060436375297556647
right 49 0.060436375297556647
gold 49 0.060436375297556647
curious 48 0.059202979883320794
can’t 48 0.059202979883320794
